,Date,Volume,Price,Price_1d,Price_2d,Price_3d,Nasdaq,Nasdaq_1d,Nasdaq_2d,Nasdaq_3d,compound,positive,negative,neutral
0,2020-01-02,47660500,86.052002,86.052002,86.052002,86.052002,9092.19043,9092.19043,9092.19043,9092.19043,1.0,0.11699999999999999,0.051,0.831
1,2020-01-03,88892500,88.601997,86.052002,86.052002,86.052002,9020.769531,9092.19043,9092.19043,9092.19043,1.0,0.098,0.064,0.838
2,2020-01-06,50665000,90.307999,88.601997,86.052002,86.052002,9071.469727,9020.769531,9092.19043,9092.19043,1.0,0.09699999999999999,0.051,0.852
3,2020-01-07,89410500,93.811996,90.307999,88.601997,86.052002,9068.580078,9071.469727,9020.769531,9092.19043,1.0,0.10400000000000001,0.048,0.848
4,2020-01-08,155721500,98.428001,93.811996,90.307999,88.601997,9129.240234,9068.580078,9071.469727,9020.769531,1.0,0.114,0.05,0.836
5,2020-01-09,142202000,96.267998,98.428001,93.811996,90.307999,9203.429688,9129.240234,9068.580078,9071.469727,1.0,0.09699999999999999,0.055,0.848
6,2020-01-10,64797500,95.629997,96.267998,98.428001,93.811996,9178.860352,9203.429688,9129.240234,9068.580078,1.0,0.114,0.052000000000000005,0.835
7,2020-01-13,132588000,104.97200000000001,95.629997,96.267998,98.428001,9273.929688,9178.860352,9203.429688,9129.240234,1.0,0.122,0.05,0.828
8,2020-01-14,144981000,107.584,104.97200000000001,95.629997,96.267998,9251.330078,9273.929688,9178.860352,9203.429688,1.0,0.10300000000000001,0.055999999999999994,0.841
9,2020-01-15,86844000,103.699997,107.584,104.97200000000001,95.629997,9258.700195,9251.330078,9273.929688,9178.860352,1.0,0.10400000000000001,0.06,0.836
10,2020-01-16,108683500,102.697998,103.699997,107.584,104.97200000000001,9357.129883,9258.700195,9251.330078,9273.929688,1.0,0.10099999999999999,0.065,0.8340000000000001
11,2020-01-17,68145500,102.099998,102.697998,103.699997,107.584,9388.94043,9357.129883,9258.700195,9251.330078,1.0,0.094,0.068,0.838
12,2020-01-21,89017500,109.440002,102.099998,102.697998,103.699997,9370.80957,9388.94043,9357.129883,9258.700195,1.0,0.111,0.061,0.8270000000000001
13,2020-01-22,156845000,113.912003,109.440002,102.099998,102.697998,9383.769531,9370.80957,9388.94043,9357.129883,1.0,0.109,0.052000000000000005,0.8390000000000001
14,2020-01-23,98255000,114.440002,113.912003,109.440002,102.099998,9402.480469,9383.769531,9370.80957,9388.94043,1.0,0.102,0.057,0.841
15,2020-01-24,71768000,112.963997,114.440002,113.912003,109.440002,9314.910156,9402.480469,9383.769531,9370.80957,1.0,0.09699999999999999,0.064,0.8390000000000001
16,2020-01-27,68040500,111.603996,112.963997,114.440002,113.912003,9139.30957,9314.910156,9402.480469,9383.769531,1.0,0.1,0.057999999999999996,0.843
17,2020-01-28,58942500,113.379997,111.603996,112.963997,114.440002,9269.679688,9139.30957,9314.910156,9402.480469,1.0,0.106,0.048,0.846
18,2020-01-29,89007500,116.197998,113.379997,111.603996,112.963997,9275.160156,9269.679688,9139.30957,9314.910156,1.0,0.10800000000000001,0.054000000000000006,0.8390000000000001
19,2020-01-30,145028500,128.162003,116.197998,113.379997,111.603996,9298.929688,9275.160156,9269.679688,9139.30957,1.0,0.115,0.055999999999999994,0.8290000000000001
20,2020-01-31,78596500,130.113998,128.162003,116.197998,113.379997,9150.94043,9298.929688,9275.160156,9269.679688,1.0,0.115,0.052000000000000005,0.8320000000000001
21,2020-02-03,236167500,156.0,130.113998,128.162003,116.197998,9273.400391,9150.94043,9298.929688,9275.160156,1.0,0.113,0.06,0.828
22,2020-02-04,304694000,177.412003,156.0,130.113998,128.162003,9467.969727,9273.400391,9150.94043,9298.929688,1.0,0.10099999999999999,0.057,0.843
23,2020-02-05,242119000,146.940002,177.412003,156.0,130.113998,9508.679688,9467.969727,9273.400391,9150.94043,1.0,0.10300000000000001,0.06,0.8370000000000001
24,2020-02-06,199404000,149.792007,146.940002,177.412003,156.0,9572.150391,9508.679688,9467.969727,9273.400391,1.0,0.10099999999999999,0.048,0.85
25,2020-02-07,85317500,149.613998,149.792007,146.940002,177.412003,9520.509766,9572.150391,9508.679688,9467.969727,1.0,0.11599999999999999,0.053,0.831
26,2020-02-10,123446000,154.255997,149.613998,149.792007,146.940002,9628.389648,9520.509766,9572.150391,9508.679688,1.0,0.111,0.054000000000000006,0.835
27,2020-02-11,58487500,154.87600700000004,154.255997,149.613998,149.792007,9638.94043,9628.389648,9520.509766,9572.150391,1.0,0.105,0.049,0.847
28,2020-02-12,60112500,153.457993,154.87600700000004,154.255997,149.613998,9725.959961,9638.94043,9628.389648,9520.509766,1.0,0.115,0.063,0.823
29,2020-02-13,131446500,160.800003,153.457993,154.87600700000004,154.255997,9711.969727,9725.959961,9638.94043,9628.389648,1.0,0.105,0.053,0.8420000000000001
30,2020-02-14,78468500,160.005997,160.800003,153.457993,154.87600700000004,9731.179688,9711.969727,9725.959961,9638.94043,1.0,0.107,0.057999999999999996,0.835
31,2020-02-18,81908500,171.679993,160.005997,160.800003,153.457993,9732.740234,9731.179688,9711.969727,9725.959961,-1.0,0.07200000000000001,0.081,0.847
32,2020-02-19,127115000,183.483994,171.679993,160.005997,160.800003,9817.179688,9732.740234,9731.179688,9711.969727,0.9991,0.081,0.075,0.8440000000000001
33,2020-02-20,88174500,179.882004,183.483994,171.679993,160.005997,9750.969727,9817.179688,9732.740234,9731.179688,0.9999,0.08900000000000001,0.069,0.843
34,2020-02-21,71574000,180.199997,179.882004,183.483994,171.679993,9576.589844,9750.969727,9817.179688,9732.740234,0.9988,0.084,0.078,0.838
35,2020-02-24,75961000,166.757996,180.199997,179.882004,183.483994,9221.280273,9576.589844,9750.969727,9817.179688,1.0,0.092,0.067,0.8420000000000001
36,2020-02-25,86452500,159.98199499999996,166.757996,180.199997,179.882004,8965.610352,9221.280273,9576.589844,9750.969727,1.0,0.106,0.069,0.8240000000000001
37,2020-02-26,70427500,155.759995,159.98199499999996,166.757996,180.199997,8980.780273,8965.610352,9221.280273,9576.589844,0.9992,0.10099999999999999,0.091,0.809
38,2020-02-27,121386000,135.800003,155.759995,159.98199499999996,166.757996,8566.480469,8980.780273,8965.610352,9221.280273,1.0,0.11199999999999999,0.057999999999999996,0.83
39,2020-02-28,122821000,133.598007,135.800003,155.759995,159.98199499999996,8567.370117,8566.480469,8980.780273,8965.610352,1.0,0.10300000000000001,0.055,0.841
40,2020-03-02,100975000,148.723999,133.598007,135.800003,155.759995,8952.169922,8567.370117,8566.480469,8980.780273,1.0,0.10300000000000001,0.055999999999999994,0.841
41,2020-03-03,128920000,149.102005,148.723999,133.598007,135.800003,8684.089844,8952.169922,8567.370117,8566.480469,1.0,0.109,0.054000000000000006,0.838
42,2020-03-04,75245000,149.899994,149.102005,148.723999,133.598007,9018.089844,8684.089844,8952.169922,8567.370117,1.0,0.111,0.044000000000000004,0.846
43,2020-03-05,54263500,144.908005,149.899994,149.102005,148.723999,8738.589844,9018.089844,8684.089844,8952.169922,1.0,0.11800000000000001,0.05,0.831
44,2020-03-06,63314500,140.695999,144.908005,149.899994,149.102005,8575.620117,8738.589844,9018.089844,8684.089844,1.0,0.11800000000000001,0.057,0.825
45,2020-03-09,85368500,121.599998,140.695999,144.908005,149.899994,7950.680176000002,8575.620117,8738.589844,9018.089844,1.0,0.1,0.066,0.8340000000000001
46,2020-03-10,77972000,129.065994,121.599998,140.695999,144.908005,8344.25,7950.680176000002,8575.620117,8738.589844,1.0,0.106,0.051,0.8420000000000001
47,2020-03-11,66612500,126.846001,129.065994,121.599998,140.695999,7952.049805,8344.25,7950.680176000002,8575.620117,1.0,0.10400000000000001,0.049,0.847
48,2020-03-12,94545500,112.110001,126.846001,129.065994,121.599998,7201.799805,7952.049805,8344.25,7950.680176000002,1.0,0.098,0.05,0.852
49,2020-03-13,113201500,109.323997,112.110001,126.846001,129.065994,7874.879883,7201.799805,7952.049805,8344.25,1.0,0.11199999999999999,0.051,0.8370000000000001
50,2020-03-16,102447500,89.014,109.323997,112.110001,126.846001,6904.589844,7874.879883,7201.799805,7952.049805,1.0,0.10800000000000001,0.062,0.83
51,2020-03-17,119973000,86.040001,89.014,109.323997,112.110001,7334.779785,6904.589844,7874.879883,7201.799805,1.0,0.11199999999999999,0.054000000000000006,0.8340000000000001
52,2020-03-18,118931000,72.244003,86.040001,89.014,109.323997,6989.839844,7334.779785,6904.589844,7874.879883,1.0,0.102,0.071,0.8270000000000001
53,2020-03-19,150977500,85.52799999999999,72.244003,86.040001,89.014,7150.580078,6989.839844,7334.779785,6904.589844,1.0,0.107,0.07,0.823
54,2020-03-20,141427500,85.505997,85.52799999999999,72.244003,86.040001,6879.52002,7150.580078,6989.839844,7334.779785,1.0,0.1,0.061,0.84
55,2020-03-23,82272500,86.858002,85.505997,85.52799999999999,72.244003,6860.669922,6879.52002,7150.580078,6989.839844,1.0,0.11199999999999999,0.06,0.828
56,2020-03-24,114476000,101.0,86.858002,85.505997,85.52799999999999,7417.859863,6860.669922,6879.52002,7150.580078,1.0,0.124,0.057,0.82
57,2020-03-25,106113500,107.849998,101.0,86.858002,85.505997,7384.299805,7417.859863,6860.669922,6879.52002,1.0,0.11800000000000001,0.048,0.8340000000000001
58,2020-03-26,86903500,105.632004,107.849998,101.0,86.858002,7797.540039,7384.299805,7417.859863,6860.669922,1.0,0.111,0.06,0.8290000000000001
59,2020-03-27,71887000,102.872002,105.632004,107.849998,101.0,7502.379883,7797.540039,7384.299805,7417.859863,1.0,0.127,0.06,0.813
60,2020-03-30,59990500,100.426003,102.872002,105.632004,107.849998,7774.149901999999,7502.379883,7797.540039,7384.299805,1.0,0.10800000000000001,0.051,0.841
61,2020-03-31,88857500,104.800003,100.426003,102.872002,105.632004,7700.100098000001,7774.149901999999,7502.379883,7797.540039,1.0,0.109,0.05,0.841
62,2020-04-01,66766000,96.311996,104.800003,100.426003,102.872002,7360.580078,7700.100098000001,7774.149901999999,7502.379883,1.0,0.128,0.05,0.8220000000000001
63,2020-04-02,99292000,90.893997,96.311996,104.800003,100.426003,7487.310059,7360.580078,7700.100098000001,7774.149901999999,1.0,0.136,0.057,0.8079999999999999
64,2020-04-03,22562100,96.001999,90.893997,96.311996,104.800003,7373.080078,7487.310059,7360.580078,7700.100098000001,1.0,0.10099999999999999,0.054000000000000006,0.845
65,2020-04-06,14901800,103.248001,96.001999,90.893997,96.311996,7913.240234000001,7373.080078,7487.310059,7360.580078,1.0,0.121,0.048,0.831
66,2020-04-07,17919800,109.089996,103.248001,96.001999,90.893997,7887.259765999999,7913.240234000001,7373.080078,7487.310059,1.0,0.10099999999999999,0.047,0.852
67,2020-04-08,12656000,109.767998,109.089996,103.248001,96.001999,8090.899901999999,7887.259765999999,7913.240234000001,7373.080078,1.0,0.109,0.061,0.83
68,2020-04-09,13650000,114.599998,109.767998,109.089996,103.248001,8153.580078,8090.899901999999,7887.259765999999,7913.240234000001,1.0,0.10400000000000001,0.054000000000000006,0.8420000000000001
69,2020-04-13,22475400,130.190002,114.599998,109.767998,109.089996,8192.419922,8153.580078,8090.899901999999,7887.259765999999,1.0,0.115,0.046,0.8390000000000001
70,2020-04-14,30576500,141.977997,130.190002,114.599998,109.767998,8515.740234,8192.419922,8153.580078,8090.899901999999,1.0,0.11199999999999999,0.042,0.846
71,2020-04-15,23577000,145.966003,141.977997,130.190002,114.599998,8393.179688,8515.740234,8192.419922,8153.580078,1.0,0.109,0.044000000000000004,0.847
72,2020-04-16,20657900,149.042007,145.966003,141.977997,130.190002,8532.360352,8393.179688,8515.740234,8192.419922,1.0,0.11599999999999999,0.052000000000000005,0.8320000000000001
73,2020-04-17,13128200,150.778,149.042007,145.966003,141.977997,8650.139648,8532.360352,8393.179688,8515.740234,1.0,0.115,0.052000000000000005,0.833
74,2020-04-20,14746600,149.272003,150.778,149.042007,145.966003,8560.730469,8650.139648,8532.360352,8393.179688,1.0,0.126,0.048,0.8270000000000001
75,2020-04-21,20209100,137.34399399999998,149.272003,150.778,149.042007,8263.230469,8560.730469,8650.139648,8532.360352,1.0,0.12,0.042,0.838
76,2020-04-22,14224800,146.421997,137.34399399999998,149.272003,150.778,8495.379883,8263.230469,8560.730469,8650.139648,1.0,0.12,0.040999999999999995,0.838
77,2020-04-23,13236700,141.12600700000004,146.421997,137.34399399999998,149.272003,8494.75,8495.379883,8263.230469,8560.730469,1.0,0.107,0.046,0.847
78,2020-04-24,13237600,145.029999,141.12600700000004,146.421997,137.34399399999998,8634.519531,8494.75,8495.379883,8263.230469,1.0,0.127,0.046,0.8270000000000001
79,2020-04-27,20681400,159.75,145.029999,141.12600700000004,146.421997,8730.160156,8634.519531,8494.75,8495.379883,1.0,0.099,0.043,0.857
80,2020-04-28,15222000,153.824005,159.75,145.029999,141.12600700000004,8607.730469,8730.160156,8634.519531,8494.75,1.0,0.1,0.05,0.85
81,2020-04-29,16216000,160.102005,153.824005,159.75,145.029999,8914.709961,8607.730469,8730.160156,8634.519531,1.0,0.11699999999999999,0.062,0.8220000000000001
82,2020-04-30,28471900,156.37600700000004,160.102005,153.824005,159.75,8889.549805,8914.709961,8607.730469,8730.160156,1.0,0.107,0.08,0.8140000000000001
83,2020-05-01,32531800,140.26400800000002,156.37600700000004,160.102005,153.824005,8604.950195,8889.549805,8914.709961,8607.730469,1.0,0.102,0.077,0.821
84,2020-05-04,19237100,152.238007,140.26400800000002,156.37600700000004,160.102005,8710.709961,8604.950195,8889.549805,8914.709961,1.0,0.10800000000000001,0.044000000000000004,0.848
85,2020-05-05,16991700,153.641998,152.238007,140.26400800000002,156.37600700000004,8809.120117,8710.709961,8604.950195,8889.549805,1.0,0.10800000000000001,0.045,0.848
86,2020-05-06,11123200,156.516006,153.641998,152.238007,140.26400800000002,8854.389648,8809.120117,8710.709961,8604.950195,1.0,0.11,0.046,0.8440000000000001
87,2020-05-07,11527700,156.007996,156.516006,153.641998,152.238007,8979.660156,8854.389648,8809.120117,8710.709961,1.0,0.107,0.051,0.841
88,2020-05-08,16130100,163.884003,156.007996,156.516006,153.641998,9121.320313,8979.660156,8854.389648,8809.120117,1.0,0.105,0.051,0.8440000000000001
89,2020-05-11,16519600,162.257996,163.884003,156.007996,156.516006,9192.339844,9121.320313,8979.660156,8854.389648,1.0,0.10800000000000001,0.08900000000000001,0.8029999999999999
90,2020-05-12,15906900,161.882004,162.257996,163.884003,156.007996,9002.549805,9192.339844,9121.320313,8979.660156,1.0,0.106,0.081,0.813
91,2020-05-13,19065500,158.192001,161.882004,162.257996,163.884003,8863.169922,9002.549805,9192.339844,9121.320313,1.0,0.11199999999999999,0.07400000000000001,0.8140000000000001
92,2020-05-14,13682200,160.666,158.192001,161.882004,162.257996,8943.719727,8863.169922,9002.549805,9192.339844,1.0,0.10400000000000001,0.061,0.836
93,2020-05-15,10518400,159.834,160.666,158.192001,161.882004,9014.55957,8943.719727,8863.169922,9002.549805,1.0,0.105,0.048,0.847
94,2020-05-18,11698100,162.725998,159.834,160.666,158.192001,9234.830078,9014.55957,8943.719727,8863.169922,1.0,0.1,0.049,0.851
95,2020-05-19,9636500,161.602005,162.725998,159.834,160.666,9185.099609,9234.830078,9014.55957,8943.719727,1.0,0.11,0.043,0.847
96,2020-05-20,7309300,163.112,161.602005,162.725998,159.834,9375.780273,9185.099609,9234.830078,9014.55957,1.0,0.111,0.051,0.838
